,S. No.,Message_body,Label,cleaned
720,721,Pls help me tell Ashley that i cant find her number oh,Non-Spam,pl help tell ashley cant find number oh
735,736,Po de :-):):-):-):-). No need job aha.,Non-Spam,po de need job aha
702,703,Sorry da..today i wont come to play..i have driving clas..,Non-Spam,sorri da today wont come play drive cla
894,895,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",Spam,custom servic announc recent tri make deliveri unabl plea call schedul ref
377,378,"Sorry, I'll call later",Non-Spam,sorri call later
917,918,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",Non-Spam,plea protect e threat sib never ask sensit inform like password atm sm pin thru email never share password anybodi
68,69,Apo all other are mokka players only,Non-Spam,apo mokka player onli
779,780,Ü thk of wat to eat tonight.,Non-Spam,thk wat eat tonight
587,588,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),Non-Spam,spend new year brother hi famili let plan meet next week readi spoil
925,926,Havent.,Non-Spam,havent
255,256,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,Spam,get offici england poli rington colour flag yer mobil tonight game text tone flag optout txt eng stop box w wx
673,674,Send me the new number,Non-Spam,send new number
912,913,Hope you are having a great day.,Non-Spam,hope great day
504,505,Ok i also wan 2 watch e 9 pm show...,Non-Spam,ok also wan watch e pm show
241,242,Sweet heart how are you?,Non-Spam,sweet heart
378,379,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,Spam,record indic u mayb entitl pound compen accid claim free repli claim thi msg stop txt stop
257,258,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Non-Spam,got ur favorit oyster n got favorit sashimi ok lar dun say alreadi wait ur stomach start rumbl
448,449,PRIVATE! Your 2003 Account Statement for 078,Spam,privat account statement
648,649,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,Non-Spam,sit mu wait everyon get suit take shower
382,383,I uploaded mine to Facebook,Non-Spam,upload mine facebook
280,281,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,Non-Spam,hey congrat u id luv ive go home
240,241,"Sir, waiting for your letter.",Non-Spam,sir wait letter
562,563,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Non-Spam,someon ha year lt gt toyota camri like mr olayiwola mileag lt gt k clean need know much sell rai dough soon land sell holla back
113,114,Arun can u transfr me d amt,Non-Spam,arun u transfr amt
758,759,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,Non-Spam,oga left phone home saw ur messag hope good great weekend
699,700,Okey dokey swashbuckling stuff what oh.,Non-Spam,okey dokey swashbuckl stuff oh
518,519,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Non-Spam,yeah basic ani time next week get away mom amp get befor
515,516,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Non-Spam,tick tick tick could die lone know pout stomp feet need
51,52,Can you pls send me that company name. In saibaba colany,Non-Spam,pl send compani name saibaba colani
178,179,Ooooooh I forgot to tell u I can get on yoville on my phone,Non-Spam,ooooooh forgot tell u get yovil phone
700,701,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Non-Spam,oh shit thought wa trip loooooool make much sen grin sofa refer wa sleep couch link sent went trip oh babe go celebr rent
189,190,You have 1 new message. Call 0207-083-6089,Spam,new messag call
785,786,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,Non-Spam,yup hey one day fri ask miwa jiayin take leav go karaok
188,189,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",Non-Spam,make squeez lt gt buck dad
392,393,Company is very good.environment is terrific and food is really nice:),Non-Spam,compani veri good environ terrif food realli nice
335,336,Hey what how about your project. Started aha da.,Non-Spam,hey project start aha da
307,308,Did you see that film:),Non-Spam,see film
951,952,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Spam,sunshin quiz win super soni dvd record cannam capit australia text mquiz b
584,585,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,Non-Spam,slept thinkthi time lt gt pm danger
766,767,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",Non-Spam,cool tyler take r gonna buy drop hi place later tonight total order quarter got enough
527,528,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Non-Spam,pl clarifi back open return ticket prepon go back kerala
753,754,i can call in  &lt;#&gt;  min if thats ok,Non-Spam,call lt gt min ok
579,580,No rushing. I'm not working. I'm in school so if we rush we go hungry.,Non-Spam,rush work school rush go hungri
358,359,Dai i downloaded but there is only exe file which i can only run that exe after installing.,Non-Spam,dai download onli exe file onli run exe instal
762,763,"Er, hello, things didnt quite go to plan  is limping slowly home followed by aa and with exhaust hanging off",Non-Spam,er hello thing quit go plan limp slowli home follow aa exhaust hang
32,33,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam,believ attach see everi day know best get babe go teach class midnight
561,562,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Non-Spam,guess pub im im happi pig clover whatev say
4,5,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam,thi nd time tri contact u u pound prize claim easi call onli p per minut bt nation rate
870,871,A guy who gets used but is too dumb to realize it.,Non-Spam,guy get use dumb realiz
841,842,"There'll be a minor shindig at my place later tonight, you interested?",Non-Spam,l minor shindig place later tonight interest
328,329,Its a part of checking IQ,Non-Spam,part check iq
